PC1	PC2	PC3	PC4	PC5
Cell_Line_6	-0.941542437391739	-1.461164974562	-0.209046263548799	-0.882871623213187	-0.865600163991615
Cell_Line_7	5.96573500688644	-2.35973183696396	2.4358374455212	-1.01463271193499	-0.473312973473804
Cell_Line_8	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351
Cell_Line_9	-0.0508614346962328	-2.64071461686872	-2.01901467608256	-1.21358237779004	2.35767659522087
Cell_Line_10	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283
Cell_Line_11	-1.83145529380158	1.68237222343869	2.12652489588303	-0.483873290854867	-1.29932699271358
Cell_Line_12	-0.613303768465985	-0.431814975723869	0.482715100295506	2.28600752573588	0.590303428199349
Cell_Line_13	-0.314579347350273	-2.22706459419613	-1.13961400504077	1.38009135179277	2.58415699802486
Cell_Line_14	-0.614708155300548	2.2664209300143	1.55573376401048	1.01534307175788	1.14248940025841
Cell_Line_15	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692
Cell_Line_16	-2.1758146478304	-1.12990619565484	2.14656071417234	0.909018459057457	-1.84832242868551
Cell_Line_17	0.626309436799676	1.53382889368208	-2.84867543744433	0.950173843700452	-2.38856295447927
Cell_Line_18	-0.490337466965287	2.49613950252544	-0.478146437646078	0.923528079964091	1.19800444694202
Cell_Line_19	-1.37474821377918	-2.45446274367515	-2.29666786597516	2.01712309863357	-1.70551424888399
Cell_Line_20	1.40517951406438	-1.85879576461241	0.890495265944418	-0.838419871203221	-0.759001745861654
Cell_Line_1	-0.377607334229199	5.17487639726389	-2.15595484195542	1.21439150898694	-1.4666405779581
Cell_Line_2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652
Cell_Line_3	-1.16351103418873	-1.80175698157095	0.371329417904338	0.466363117544241	-0.561659702614846
Cell_Line_4	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099
Cell_Line_5	-0.398973158587891	0.775827787338083	-0.442599315194199	-0.895347469044863	0.167789030973104
